,NK,Fibro,EpiT,Mast,Macro,Granulo,DC,Tgd,TCD4,Epi,Endo,Peri,SmoothMuscle,TZBTB16,TCD8,ILC,B,Plasma,Mono,Schwann
SYNPO2,0,1.18892115108361,0,0.0595386625501675,0.0133381600131198,0,0.393214201004508,0,0,0,0.32000123014409,3.28671194764259,5.37366898420909,0.0759195878777676,0,0.439650541684712,0.304680077540976,0,0.0345607919677028,0.895221025025649
MYOZ2,0,0,0,0,0,0,0,0,0,0,0.00356313271382166,0,0.0288777674568695,0,0,0,0,0,0,0.135411877300305
RP11-679C8.2,0,0,0,0.113843027156429,0,0,0,0,0,0,0,0,0.0453692587353839,0,0,0,0,0.213991648363851,0.020670603087143,0
IL2,0,0,0,0,0,0,0,0.165666543453519,0,0,0,0,0,0,0,0,0,0,0,0
PCDH10,0,0,0,0,0,0,0,0,0,0,0.0262720232471054,0.0119139988596027,0.0266179491486847,0,0,0,0,0,0,0.56419406812348
SLC7A11,0,0.194963082913343,1.33922563378223,0.0636961826676905,0.230826361639893,0,1.17878684929225,0,0,0.481959298674046,0.315033923300426,0,0.047915720264181,0,0,0,0,0.288458618242149,0.451807862935562,0
HHIP,0,0.545962080987997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-203B7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277044743488573,0,0,0
RP11-372K14.2,0,0,0,0,0.0354315988631637,0,0,0,0,0,0.0245022729638114,0.0521626541924273,0.058296144114711,0,0.0546663229054816,0,0,0,0,0.068220620835097
TMEM154,0.764272685689052,0.0512188064964217,0.441511586249305,4.1161602832259,0.113835000858991,2.97405745901331,0.567601762370818,1.14745265553375,2.09549279353571,0.096192551699175,0.123927920093862,0.0137420942841057,0.0130319254815822,0.704890069720944,0.790070610068252,0,3.61988224823768,1.13915307474194,0.37931933569665,0
TLR2,0,0.0146055065260411,0.0481849376465615,0,1.94702096595927,3.81932388705583,0.786284770205137,0,0.0819254937054694,0,0.0420177590135075,0,0.0180464672659482,0.149809857132817,0.0150947950874506,0,0,0,3.18567108978368,0.00982640168000997
SFRP2,0,5.76145396577907,0.0600207636793311,0,0.0640251194356051,0,0,0,0,0,0.0652698642754533,0.117353630822614,0,0,0,0,0,0,0.0359170431294031,0
LRAT,0,0.0467523013702321,0.0526815574236876,0,0.0117633928281993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583154254774839
CPE,0,0.642747348789321,0.892989583846566,0,0.0147290903967898,0,0,0,0,0.488033757663653,2.85962966168767,5.82020393834748,6.64429977835889,0,0,0,0,0,0.0508599431724062,0.258456248550647
DDX60L,0.89409885653202,0.200839661473338,0.438633734059925,0.420070202317451,0.781684614791312,2.64643376172745,0.497293630748213,1.82136624925618,0.757748731304455,0.973610138631345,0.693933183907703,0.182582168080265,0.100045284835962,0.735638681738197,0.865458267628877,0,0,0.24815513441575,1.75596359326407,0.125952379542775
SCRG1,0.199041270194015,0.203133292967187,0.0333523156757518,0.156326057942276,0.0668991082678586,0,0.114052811760255,0.256980963569763,0.16963906966426,0,0.0444988449736324,0.0679857790502847,0.150625226993284,0.184913963725248,0.300097131361253,0.417508450759411,0.310047669904689,0.150244674463117,0.150981999000303,0.793779616240008
HAND2,0,0.511736844808765,0,0,0,0,0,0,0,0,0,0.133271053021018,0.720194421702742,0,0,0,0,0,0,4.97482155565657
HAND2-AS1,0,0.279937004567224,0.0157015723306991,0,0,0,0.0421923616218144,0,0,0,0.0945689431531294,0.181888306806548,0.362847905266975,0,0,0,0,0,0.0233148541204556,4.10044509653378
RP11-161D15.1,0,0.00617817497441152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815699074619163
RP11-148L24.1,0,0.00695476510848199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024192243304621
HPGD,1.34736578473424,0.258212601288586,1.46490161562579,12.0206188833604,0.0889852023730754,0,0.196899045644196,1.13714369901665,0.892584063666667,3.99666583260605,0.0639040167962123,0.0108892337896836,0,2.77499777016458,0.967787881847512,0,0.157391752312741,1.32365326137364,0.0285162567408693,0.170371258859055
AC108142.1,0,0.0385500955503966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682318126062904
TENM3,0,0.188588960968857,0.0484340842893328,0,0,0,0.0421923616218144,0,0,0,0.0226412213932448,0,0,0,0,0,0,0,0,2.50466132525463
ACSL1,0.503392881168544,0.331346784489221,0.712971014398499,0.50002641627433,1.31215772381899,6.23739487341629,0.796743092973115,0.272671098530262,0.489688325151616,0.265081519674726,0.194457084385898,0.178012556716638,0.209776418637634,0.0293348652486919,0.342802201559917,0,0.614727747445665,0.189952927604745,2.95304434438247,0.102672209180968
RP11-701P16.2,0,0,0,0,0.00635303329428012,0.525703107747464,0.049363177759559,0,0,0,0,0,0,0,0,0,0,0,0.103938668875458,0
RP11-701P16.5,0,0.00632859740898443,0,0,0.203424103422107,1.14167610956094,0.149685098912893,0,0,0,0,0,0,0,0,0,0,0,1.0168925761064,0
RP11-701P16.4,0,0,0,0,0,0,0.0247302279271082,0,0,0,0,0,0,0,0,0,0,0,0,0
SORBS2,0,0.208266913840387,1.25435064532319,0,0.0392240234274244,0,0.0186726135279122,0.1721243547732,0,0.768219198178356,2.41898072250258,0.357054939132991,9.80742423306777,0,0,0,0.277044743488573,0.56739023561856,0.0288637312665063,5.72475904612759
RP11-91J3.3,0,0,0,0,0,0,0,0,0,0,0,0.00890143538520063,0.0688580603355385,0,0,0,0,0,0,0
ROPN1L,0,0,0,0,0,0.488817723515237,0,0,0,0,0.113950723851359,0.00463893110321156,0,0,0,0,0,0,0,0
RP11-1C1.7,0,0,0.0359814418820745,0,0,0.488817723515237,0,0,0,0,0,0,0,0,0,0,0,0,0.0534085023581029,0
CTD-2165H16.4,0.171433661491133,0,0.0128585798281221,0,0.00437745908307153,0,0,0,0.345689459861684,0.0213238705407097,0,0,0,0.104956505022721,0,0.420535839830683,0,0,0,0
BASP1,0,3.80301480247896,0.30071499236519,1.96971211650366,2.30374362596147,5.51825004696424,6.27081730098209,0,2.13711128314674,0.202598194832432,0.321956777790979,1.95244155408385,0.0207254187192562,0.566939525822245,0.0849862845574092,0,18.1851687613967,5.10851744989359,3.40960309436305,0.0579687813347332
CTD-2118P12.1,0,0,0.0206210323827269,0,0.00909733820927181,0,0,0,0,0,0,0,0,0.0815092165376907,0,0,0,0,0,0
CTD-2203K17.1,0,0,0.0664854293319596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1QTNF3,0,2.43776799555278,0.174046713581547,0.110494569424347,0.0332499245197984,0,0,0,0.151460429171222,0.0346407685970937,0.250853593956738,0.0680428919655309,0.20824252861874,0.0483144847653615,0.112242625266554,0.366394473664582,0,0,0.0625761109363167,0.410987763223868
IL7R,5.6126160324767,0.769949701333448,0.0728340190800483,0.287885679676622,3.84350533307036,0,4.47352449111397,1.58040531571306,9.51305859877751,0.00886977776364528,0.200874059690818,0.0274002053852163,0,1.53646848437449,3.87336568169692,19.6748371126344,3.20566907312809,2.60513915958487,2.60484506527446,0.0991492488476201
RANBP3L,0,0,0,0,0,0,0,0,0,0,0,0,0.152725025090871,0,0,0,0,0,0,0
GDNF,0,0.293915949114219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443376081841422
FYB1,4.25154851980192,0.129391717257656,0.0773743347504589,1.31805509052184,5.32913289920268,4.57502413326319,4.10517684032568,7.72857475611203,9.22656349075211,0.12418245628547,0.0978275289919166,0.0804872971578344,0,5.17843941918333,6.46509041593402,2.90683302537256,0.964028837395541,1.91038406179659,4.75160396014733,0.0614885346380272
RP11-386E5.1,0,0,0,0,0,0,0.0153567187351459,0,0,0.094000573959088,0,0,0,0,0,0,0,0,0,0
C7,0,0.993487808008111,0.0239470809045305,0,0,0,0,0,0,0.0540576294980187,0.593596630434158,0.154859329233836,0.286046365880363,0,0,0,0,0,0,0.0592917878147671
SEPP1,0.627592342582432,5.01410167145805,3.58945262205336,0.168275610132279,4.26733825151797,0,0.446781241839592,0.288416243409758,0.176532852593769,5.88171485154551,3.57748216118254,3.41264927897829,3.93702203867761,0.354385394207197,0,0.652034919007823,0.765500975666617,0.601015117825888,0.12229069729908,6.37015479441949
CTD-2035E11.3,0.150353886914332,0,0.0111852871134276,0.210331484527296,0.0704391250620939,0,0.0601494379934626,0,0.331134627568411,0,0.154630243395868,0.0366946941610758,0,0.133005231105754,0.238758533580581,1.65619179958738,0,0.580420630687782,0,0.0360975723753009
CTD-2035E11.5,0.16434052782716,0.0791178418254672,0.0517241051880453,0.161278915323139,0,0.398104464700854,0.0253430265329108,0,0.185715170844599,0,0.0205173532208549,0.0289930099382463,0.20209733398377,0,0.178522725598436,0,0,0.0537647074906444,0,0
NIM1K,0,0.0174514612140741,0,0,0.0217114789997908,0,0.0510441876839356,0,0,0,0,0.00762482687425438,0,0,0,0,0,0,0,0.60032750743948
CTD-2314G24.2,0,0.0652755112646944,0.0117663672878006,0,0,0,0,0,0,0,0.00907042743440931,0.050628547013215,0,0,0,0,0,0,0,0
FST,0,0.981815131367486,0.0520462856066933,0,0,0,0,0,0,0,0,0,0,0,0.0393310049887608,0.969782498966565,0,0,0,2.2614426985521
ESM1,0.16434052782716,0.0808087811037539,0,0,0,0,0,0,0,0,1.54175917881708,0,0,0.069614448222309,0,0,0,0,0,0
GZMK,6.47342570986847,0.00534179579162067,0.0110757125693455,0,0.0498176237485295,0,0.0576413108442661,0.664449667955375,0,0.0154299388021659,0.0357576852367729,0,0,2.25812475611808,5.04295998262048,0,0,0,0.0283321268406886,0
GZMA,16.8896938508297,0.14236823551574,0.0827183811351251,0.217355024455943,0.341064304970742,0,0.31117051857995,25.8586073854301,7.01498489111645,0.197306066172102,0.0689450315902456,0.0396198089357316,0.0255796264774311,24.7636759172161,18.0960951479861,0,1.25683782113298,2.35783795009916,0.251289487947597,0.0738767393430382
RP11-266N13.2,0,0,0,0,0,0,0,0,0.217829314949261,0,0,0,0,0,0,0,0,0,0,0
CTC-537E7.3,0,0,0.00298693579671876,0.315181855472594,0,0,0,0,0,0,0.00762698216100738,0,0,0.0224247425874447,0,0,0,0,0,0
RN7SL9P,0,0,0,0,0,0,0.0676902942500088,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS4,0,0.376202210165171,0,0,0,0,0,0,0,0,0.0505587587320182,0.154971925858272,0.112675367775449,0,0,0,0,0,0,0.0397982295722756
CTC-325J23.2,0,0,0.0194745198084672,0,0,0,0,0,0,0,0.00356313271382166,0,0,0,0,0,0,0,0,0
VCAN,0,6.32117870616026,0.144151843815888,0,1.24479254238501,0,0.261967804763312,0.3008599557205,0,0,0.292585709451674,1.80429156393898,0.160479201649529,0,0.0590254426290334,0,0,0,8.82139986628011,0.593902966709309
HAPLN1,0,1.44493627251063,0.0115143149364097,0,0,0,0,0,0,0.0718550968768059,0.764285485451271,0,0,0,0,0,0,0,0,0.0127881635113534
CTC-242N15.1,0,0,0,0,0,0,0,0,0.219882221939464,0,0,0,0,0,0,0,0,0,0,0
RP11-213H15.1,0,0,0,0,0,1.64781763872691,0,0,0,0,0.0166128343711043,0,0,0,0,0,0,0,0,0
RP11-213H15.3,0.296486789488426,0.0493330416835074,0.017083415128131,0,0.40935606911102,3.57195104406041,0.13607193443856,0,0.0832125311827539,0,0.0240038060079237,0.030940697261595,0.0808148616917985,0,0.086729102603187,0,0,0,1.0555058128979,0.0531704825764499
SPATA9,0,0.0342318564077562,0.0068139464336205,0.333018716797178,0.0183503998144406,0,0,0,0,0.0390637430288135,0,0,0.0182330084584512,0,0,0.428010924906183,0,0,0,0
RP11-254I22.1,0,0.0115891978908513,0,0,0.0149088588713346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2260A17.3,0,0,0.00434739713535124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2215E18.1,0,0,0.0295475437831874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTC-332L22.1,0,0,0.0068139464336205,0,0.00437745908307153,0,0,0,0,0,0.0182427398337913,0,0.0296548615396395,0,0,0,0,0,0,0.0414160027585653
CTC-505O3.3,0.279258648801739,0.00534179579162067,0,0.0650023671277782,0.0111591916857571,0,0,0.1491415055668,0.629882047465915,0,0.0519685369969246,0.0101014168722369,0,0.087435590596729,0.432936757681528,0,0,0.346379286710353,0.0125116351299248,0
CTB-161M19.4,0,0,0,0.0761856263840978,0,0,0,0,0,0,0,0,0.0265483714230989,0,0,0,0,0,0,0
MEGF10,0,0.0236482040064377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245419088563141
KIAA1024L,0,0,0.00451911393218226,0,0,0,0,0,0,0,0,0,0.0433941402656589,0,0.0797852866636817,0,0,0,0,0
