,TNKILC,Strom,Epi,Mast,Myeloid,B,Plasma
GFI1,1.58465319099958,0.0187321949398984,0.0409200534159418,0.197380046548981,0.0586430719761195,0.157391752312741,0.229257776510296
F3,0.0447092848164259,1.29202417844494,1.07018852283957,0,0.146826971020105,0,0
GPR88,0,0.0066833662621692,0,0,0,0,0
COL11A1,0,0.191699419491245,0,0,0,0,0
RP5-947P14.1,0,0,0.00814253419331807,0,0,0,0
RP11-195M16.3,0,0,0,0.216375421931537,0,0,0
CSF1,2.25094266654258,0.930935557571646,0.0781911739423577,3.46214154509512,0.249139439429079,0,0.539234758192897
PROK1,0,0.0237031828175719,0,0,0,0,0
CHI3L2,0.733126723136664,0.0710643994279092,0.00676315962376675,0,0.0497979786591149,0.581043313713795,0.180918521883192
C1orf162,0.85417231884431,0.0179206508755871,0.0967108614118103,3.86837604871625,4.86638748979246,0.873289283361139,0.372597040467185
RP5-1073O3.7,0.157020699232501,0.0456142387753947,0.0287699336785834,0,0.0109377118962529,0,0.120397692003725
OLFML3,0.029599908683251,1.72700984705645,0.0526295712282151,0,0.309971105421777,0,0
CD2,10.8043650873322,0.0534738322337093,0.0201668969386684,0.291404220799116,0.4835927204524,2.49593668694976,2.57928135324754
SPAG17,0,0.0230672628294263,0,0,0,0,0
REG4,0.569802668468861,0.162099868307901,4.20880808461026,0.504313750155126,0.121737162811666,0.376013426802033,0.0790131020471796
CH17-437K3.1,0.0110346643993327,0.0278239490938608,0,0,0,0,0
RP6-206I17.1,0.0354898185576343,0.0547205717216067,0.0122568759787775,0.106914607699496,0.0130723487373373,0,0
TXNIP,11.5391169949509,6.1627282851635,7.20126280534497,9.24025857644218,6.48387526725269,11.2893227720748,19.5497155147679
CD160,2.38323791534821,0.0118264310708135,0,0,0.0209105174380721,0,0.183440606581514
PDZK1,0.103171633473299,0,0.0555102710772058,0,0.0329862244556871,0,0
RP11-89F3.2,0.0843220464104848,0,0,0,0.00822189671533527,0,0
RP11-666A1.5,0.0284705286368874,0.00186727603373634,0,0,0,0,0
RNVU1-19,0.0379441235405092,0,0.0365638460186581,0,0.0609908438935536,0,0
RNVU1-20,0,0.00194542772641681,0,0,0.0354387058652587,0,0
HIST2H2BF,0.0519104431357014,0.0305135377918162,0.156196749966971,0.068857548909082,0.146169302789665,0,0.315726734096223
HIST2H2AA3,0.32397318550433,0.128383572051566,0.509662925868148,0.317036215749383,0.633808611336599,0.296849796892563,1.21205178670563
CIART,0,0.0319478809325615,0.0477686090128324,0,0.0518604289943825,0,0
